id,titulo,descripcion,fecha_estreno,tipo,genero,seccion,trailer
1,Oppenheimer,"El físico J Robert Oppenheimer trabaja con un equipo de científicos durante el Proyecto Manhattan, que condujo al desarrollo de la bomba atómica.",20/07/2023,Pelicula,Accion,Popular,
2,Sonido de libertad,"Un ex agente federal se embarca en una peligrosa misión para salvar a una niña de unos despiadados traficantes de menores. Se le acaba el tiempo y se adentra en la selva colombiana, arriesgando su vida para liberarla de un destino peor que la muerte.",31/08/2023,Pelicula,Terror,Tendencia,
3,The Mandalorian,"Las aventuras de Mando, un pistolero solitario y cazarrecompensas que se abre paso a través de las fronteras más remotas de la galaxia, lejos de la jurisdicción de la Nueva República.",12/11/2019,Serie,Accion,Tendencia,
4,Star Wars: Ahsoka,La antigua caballero Jedi Ahsoka Tano investiga una amenaza emergente para una galaxia vulnerable.,22/08/2023,Serie,Accion,Tendencia,
5,Top Gun: Maverick,"Maverick, quien lleva 30 años de servicio, es ahora instructor de pilotos militares. Una última misión, un sacrificio final, obliga a este maestro de los cielos a enfrentar las heridas abiertas del pasado y sus temores más profundos.",27/05/2022,Pelicula,Aventura,,
6,Spider-Man: Across the Spider-Verse,"Después de reunirse con Gwen Stacy, el amigable vecino de tiempo completo de Brooklyn Spiderman, es lanzado a través del multiverso, donde se encuentra a un equipo de gente araña encomendada con proteger su mera existencia.",01/06/2023,Pelicula,Aventura,Popular,
7,Gran turismo,El joven Jann Mardenborough gana una serie de competiciones de videojuegos Gran Turismo organizadas por una importante empresa automovilística y obtiene la oportunidad de convertirse en piloto de carreras profesional.,24/08/2023,Pelicula,Accion,Top,
8,Breaking Bad,"El profesor calmado de química de una secundaria, Walter White cree que su vida no puede ser peor. Su salario apenas le alcanza para sostener a su familia, una situación que no mejora cuando su esposa da a luz y su hijo adolescente sufre de parálisis cerebral, pero Walter queda anonadado cuando se entera que tiene un cáncer terminal. Al concluir que su enfermedad iba a arruinar financieramente a su familia, él toma una decisión desesperada con el fin de ganar más dinero durante el tiempo que le queda y transforma un viejo vehículo de recreación en un laboratorio de matanfetaminas sobre ruedas.",29/09/2008,Serie,Accion,Popular,
9,Sin novedad en el frente,"Sin novedad en el frente es una película antibélica germana de 2022 basada en la novela homónima de Erich Maria Remarque de 1929. Dirigida por Edward Berger y está protagonizada por Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Edin Hasanović, Daniel Brühl, Thibault de Montalembert y Devid Striesow.",29/09/2022,Pelicula,Accion,,
10,Gato con botas: el último deseo,"El Gato con Botas descubre que, debido a su pasión por la aventura, ha gastado ya 8 de sus 9 vidas. Por tanto, emprende un peligroso viaje en busca del legendario Último Deseo para solicitar que le restauren las vidas que ya perdió.",21/12/2022,Pelicula,Aventura,Popular,
11,Obi-Wan Kenobi,"Luego de la destrucción de la República y el ascenso del Imperio, el maestro Jedi Obi-Wan Kenobi debe lidiar con las consecuencias de su mayor derrota: la pérdida de su amigo y aprendiz, Anakin Skywalker, a manos del lado oscuro.",22/05/2022,Serie,Accion,,
12,Rick y Morty,"Después de haber estado desaparecido durante casi 20 años, Rick Sánchez llega de imprevisto a la puerta de la casa de su hija Beth y se va a vivir con ella y su familia utilizando el garaje como su laboratorio personal.",02/12/2013,Serie,Aventura,Popular,
13,Black Mirror,"El lado oscuro de la era tecnológica en la que se vive: la paranoia de ser vigilados como en un panóptico, los usos terroristas de las nuevas herramientas y su relación con la experiencia cotidiana.",04/12/2011,Serie,Terror,Top,
14,The Last of Us,"Joel y Ellie, dos personas conectadas por la brutalidad del mundo en el que viven, se ven obligados a enfrentarse a criaturas y asesinos despiadados, mientras viajan a través de un Estados Unidos posapocalíptico.",15/01/2023,Serie,Accion,Popular,
15,Stranger Things,"Cuando un niño desaparece, sus amigos, la familia y la policía se ven envueltos en una serie de eventos misteriosos al tratar de encontrarlo. Su ausencia coincide con el avistamiento de una criatura terrorífica y la aparición de una extraña niña.",15/07/2016,Serie,Terror,Popular,
16,Suits,"El gran abogado corporativo de Manhattan, Harvey Specter y su equipo, Donna Paulsen, Louis Litt y Alex Williams, se lanzan a un juego por obtener el poder cuando un nuevo socio se une a la empresa. Con sus dos mejores colegas fuera y Jessica de regreso en Chicago, Specter y el equipo intentan adaptarse a una nueva situación sin ellos. El grupo enfrenta traiciones, relaciones fieras y secretos que finalmente salen a la luz. Viejas y nuevas rivalidades aparecen entre los miembros del equipo a medida que aprenden a lidiar con el recién llegado.",25/09/2019,Serie,Aventura,Top,
17,Peaky Blinders,"Gran Bretaña vive la posguerra. Los soldados regresan, se acuñan nuevas revoluciones y nacen bandas criminales en una nación agitada. En Birmingham, una pandilla de gánsters callejeros asciende hasta convertirse en los reyes de la clase obrera.",12/09/2013,Serie,Accion,Popular,
18,Dahmer,"La historia de uno de los asesinos en serie más conocidos de Estados Unidos, contada desde los puntos de vista de sus víctimas.",21/09/2022,Serie,Terrro,Tendencia,
19,Dark,La desaparición de dos niños muestra los vínculos entre cuatro familias y expone el pasado de una pequeña ciudad,01/12/2017,Serie,Terror,Top,
20,Arrival,"El gobierno contrata a la prestigiosa lingüista Louise Banks para que se comunique con unos alienígenas que han llegado a la Tierra. Conforme ella aprende su idioma, va experimentando regresiones muy intensas que desvelan la verdadera misión que les ha llevado hasta nuestro planeta.",02/09/2016,Pelicula,Terror,Tendencia,
21,John Wick 4,"El marqués Vincent de Gramont pretende matar a John Wick para afianzar su poder en la Orden Suprema. Sin embargo, John tratará de adelantarse a cada uno de sus movimientos hasta lograr enfrentarse cara a cara con su peor enemigo.",24/03/2023,Pelicula,Accion,Top,
22,"Mission: Impossible - Dead Reckoning, Part One","Ethan debe detener a una inteligencia artificial que todas las potencias mundiales codician, la cual se ha vuelto tan poderosa que se rebeló contra sus creadores y ahora es una amenaza en sí misma.",13/07/2023,Pelicula,Accion,Top,
23,Star Wars Episodio 3,"Seducido por el lado oscuro, Anakin Skywalker se rebela contra su mentor, Obi-Wan Kenobi, y se convierte en Darth Vader.",19/05/2005,Pelicula,Accion,,
24,Hasta el último hombre,"La historia de Desmond T. Doss, quien, debido a que se lo prohibía su fe, combatió en la Segunda Guerra Mundial sin portar un arma. No disparó ni una bala, pero salvó a 75 personas de la muerte en la batalla de la isla de Okinawa. Gracias a su coraje, pasó de ser el objeto de las burlas de sus compañeros a reconocérsele su enorme valía con la entrega de la Medalla de Honor del Congreso, otorgada por primera vez a un objetor de conciencia.",16/10/2016,Pelicula,Accion,Tendencia,
25,Blade Runner 2049,"En el año 2049 el oficial K, un nuevo replicante de la policía de Los Ángeles, emprende la búsqueda del replicante Rick Deckard, desaparecido 30 años antes. K piensa que en Deckard reside la clave que podría permitir salvar a la sociedad del caos en el que está inmersa.",05/10/2017,Pelicula,Accion,,
26,Parasite,"Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a impartir clases particulares en la adinerada casa de los Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, entablan una relación de resultados imprevisibles.",18/10/2019,Pelicula,Terror,,
27,Elvis,"Elvis Aaron Presley​, conocido como Elvis Presley o simplemente Elvis, fue un cantante y actor estadounidense, considerado como uno de los iconos culturales más populares del siglo XX. Es apodado como «el rey del rock and roll",23/06/2022,Pelicula,Aventura,Top,
28,Ford vs Ferrari,El visionario Carroll Shelby y el conductor británico Ken Miles reciben la misión de construir un nuevo automóvil con el fin de derrocar el dominio de Ferrari en el Campeonato del Mundo de Le Mans de 1966.,30/08/2019,Pelicula,Aventura,Top,
